Client ID,IP,Name,Time,Latitude,Longitude
1813136810,209.52.88.110:18334,,20180330 17:26:47,49.24915865,-122.99965387
1813136810,209.52.88.110:18334,,20180330 17:26:48,49.24915847,-122.99965477
1813136810,209.52.88.110:18334,,20180330 17:26:49,49.2491583,-122.99965468
1813136810,209.52.88.110:18334,,20180330 17:26:50,49.24915818,-122.99965515
1813136810,209.52.88.110:18334,,20180330 17:26:51,49.24915799,-122.99965589
1813136810,209.52.88.110:18334,,20180330 17:26:52,49.24915802,-122.99965435
1813136810,209.52.88.110:18334,,20180330 17:26:53,49.24915801,-122.99965319
1813136810,209.52.88.110:18334,,20180330 17:26:54,49.24915806,-122.99965196
1813136810,209.52.88.110:18334,,20180330 17:26:55,49.24856438,-122.99968495
1813136810,209.52.88.110:18334,,20180330 17:26:56,49.24854482,-122.99964714
1813136810,209.52.88.110:18334,,20180330 17:26:57,49.24854088,-122.999619
1813136810,209.52.88.110:18334,,20180330 17:26:58,49.24852143,-122.99965444
1813136810,209.52.88.110:18334,,20180330 17:26:59,49.24852893,-122.99963797
1813136810,209.52.88.110:18334,,20180330 17:27:00,49.24854474,-122.99961145
1813136810,209.52.88.110:18334,,20180330 17:27:01,49.24856784,-122.99958145
1813136810,209.52.88.110:18334,,20180330 17:27:02,49.24855378,-122.99959247
1813136810,209.52.88.110:18334,,20180330 17:27:02,49.2486467,-122.9991389
1813136810,209.52.88.110:18334,,20180330 17:27:03,49.24856054,-122.9995692
1813136810,209.52.88.110:18334,,20180330 17:27:04,49.24854623,-122.99959043
1813136810,209.52.88.110:18334,,20180330 17:27:05,49.24852446,-122.99959894
1813136810,209.52.88.110:18334,,20180330 17:27:06,49.24853182,-122.99955045
1813136810,209.52.88.110:18334,,20180330 17:27:07,49.24851831,-122.99953562
1813136810,209.52.88.110:18334,,20180330 17:27:08,49.24853097,-122.99949937
1813136810,209.52.88.110:18334,,20180330 17:27:09,49.24848779,-122.99951299
1813136810,209.52.88.110:18334,,20180330 17:27:10,49.24847397,-122.9994868
1813136810,209.52.88.110:18334,,20180330 17:27:11,49.24846571,-122.99947937
1813136810,209.52.88.110:18334,,20180330 17:27:12,49.24845252,-122.99947693
1813136810,209.52.88.110:18334,,20180330 17:27:13,49.24843798,-122.99948746
1813136810,209.52.88.110:18334,,20180330 17:27:14,49.24845465,-122.99946967
1813136810,209.52.88.110:18334,,20180330 17:27:15,49.24844873,-122.99946481
1813136810,209.52.88.110:18334,,20180330 17:27:16,49.24843754,-122.99948047
1813136810,209.52.88.110:18334,,20180330 17:27:17,49.24841407,-122.99949965
1813136810,209.52.88.110:18334,,20180330 17:27:18,49.24840701,-122.99947932
1813136810,209.52.88.110:18334,,20180330 17:27:19,49.24839207,-122.99948724
1813136810,209.52.88.110:18334,,20180330 17:27:20,49.24838793,-122.99945865
1813136810,209.52.88.110:18334,,20180330 17:27:21,49.24837693,-122.99942755
1813136810,209.52.88.110:18334,,20180330 17:27:21,49.2486371,-122.9990126
1813136810,209.52.88.110:18334,,20180330 17:27:22,49.24835157,-122.99943901
1813136810,209.52.88.110:18334,,20180330 17:27:23,49.24832657,-122.99942138
1813136810,209.52.88.110:18334,,20180330 17:27:24,49.24831193,-122.99938337
1813136810,209.52.88.110:18334,,20180330 17:27:25,49.24828856,-122.99939336
1813136810,209.52.88.110:18334,,20180330 17:27:26,49.24829171,-122.99938398
1813136810,209.52.88.110:18334,,20180330 17:27:27,49.2482639,-122.99935594
1813136810,209.52.88.110:18334,,20180330 17:27:28,49.24828967,-122.99931595
1813136810,209.52.88.110:18334,,20180330 17:27:29,49.24829999,-122.99929599
1813136810,209.52.88.110:18334,,20180330 17:27:30,49.24828928,-122.9992993
1813136810,209.52.88.110:18334,,20180330 17:27:31,49.24828184,-122.99928128
1813136810,209.52.88.110:18334,,20180330 17:27:32,49.24827453,-122.99923428
1813136810,209.52.88.110:18334,,20180330 17:27:33,49.24827535,-122.99924455
1813136810,209.52.88.110:18334,,20180330 17:27:34,49.2482764,-122.99923036
1813136810,209.52.88.110:18334,,20180330 17:27:35,49.2482803,-122.99919229
